id,name,type,building,buildingCode,energyTag,bmsTag,isactive,createdby,createdon,modifiedby,modifiedon
1,BA-CHILLER-01,Chiller,Building-Alpha,BA,BA-CH-01-MnE-L4,BA-Chiller01,1,NULL,NULL,NULL,NULL
2,BA-CHILLER-02,Chiller,Building-Alpha,BA,BA-CH-02-MnE-L4,BA-Chiller02,1,NULL,NULL,NULL,NULL
3,BA-CHILLER-03,Chiller,Building-Alpha,BA,BA-CH-03-MnE-L4,BA-Chiller03,1,NULL,NULL,NULL,NULL
4,BB-CHILLER-01,Chiller,Building-Beta,BB,BB-CH-01,BB-Chiller01,1,NULL,NULL,NULL,NULL
5,BB-CHILLER-02,Chiller,Building-Beta,BB,BB-CH-02,BB-Chiller02,1,NULL,NULL,NULL,NULL
6,BA-AIRCOMP-01,Air Compressor,Building-Alpha,BA,BA-COMP-01,NULL,1,NULL,NULL,NULL,NULL
7,BA-AIRCOMP-02,Air Compressor,Building-Alpha,BA,BA-COMP-02,NULL,1,NULL,NULL,NULL,NULL
8,BB-AIRCOMP-01,Air Compressor,Building-Beta,BB,BB-COMP-01,NULL,1,NULL,NULL,NULL,NULL
9,BA-COOLTWR-01A,Cooling Tower,Building-Alpha,BA,BA-CT-01A-ROOF,NULL,1,NULL,NULL,NULL,NULL
10,BA-COOLTWR-01B,Cooling Tower,Building-Alpha,BA,BA-CT-01B-ROOF,NULL,1,NULL,NULL,NULL,NULL
11,BA-COOLTWR-02A,Cooling Tower,Building-Alpha,BA,BA-CT-02A-ROOF,NULL,1,NULL,NULL,NULL,NULL
12,BA-COOLTWR-02B,Cooling Tower,Building-Alpha,BA,BA-CT-02B-ROOF,NULL,1,NULL,NULL,NULL,NULL
13,BA-COOLTWR-03A,Cooling Tower,Building-Alpha,BA,BA-CT-03A-ROOF,NULL,1,NULL,NULL,NULL,NULL
14,BA-COOLTWR-03B,Cooling Tower,Building-Alpha,BA,BA-CT-03B-ROOF,NULL,1,NULL,NULL,NULL,NULL
15,BB-COOLTWR-01,Cooling Tower,Building-Beta,BB,BB-CT-01,NULL,1,NULL,NULL,NULL,NULL
16,BB-COOLTWR-02,Cooling Tower,Building-Beta,BB,BB-CT-02,NULL,1,NULL,NULL,NULL,NULL
17,BA-AHU-01,AHU,Building-Alpha,BA,BA-AHU-01,BA-AHU-01,1,NULL,NULL,NULL,NULL
18,BA-AHU-02,AHU,Building-Alpha,BA,BA-AHU-02,BA-AHU-02,1,NULL,NULL,NULL,NULL
19,BA-AHU-04,AHU,Building-Alpha,BA,BA-AHU-04,BA-AHU-04,1,NULL,NULL,NULL,NULL
20,BA-AHU-05,AHU,Building-Alpha,BA,BA-AHU-05,BA-AHU-05,1,NULL,NULL,NULL,NULL
21,BA-AHU-07,AHU,Building-Alpha,BA,BA-AHU-07,BA-AHU-07,1,NULL,NULL,NULL,NULL
22,BA-AHU-08,AHU,Building-Alpha,BA,BA-AHU-08,BA-AHU-08,1,NULL,NULL,NULL,NULL
23,BA-AHU-09,AHU,Building-Alpha,BA,BA-AHU-09,BA-AHU-09,1,NULL,NULL,NULL,NULL
24,BA-AHU-10,AHU,Building-Alpha,BA,BA-AHU-10,BA-AHU-10,1,NULL,NULL,NULL,NULL
25,BA-AHU-11,AHU,Building-Alpha,BA,BA-AHU-11,BA-AHU-11,1,NULL,NULL,NULL,NULL
26,BA-AHU-12,AHU,Building-Alpha,BA,BA-AHU-12,BA-AHU-12,1,NULL,NULL,NULL,NULL
27,BA-AHU-13,AHU,Building-Alpha,BA,BA-AHU-13,BA-AHU-13,1,NULL,NULL,NULL,NULL
28,BA-AHU-14,AHU,Building-Alpha,BA,BA-AHU-14,BA-AHU-14,1,NULL,NULL,NULL,NULL
29,BA-AHU-15,AHU,Building-Alpha,BA,BA-AHU-15,BA-AHU-15,1,NULL,NULL,NULL,NULL
30,BB-AHU-01,AHU,Building-Beta,BB,BB-AHU-01,BB-AHU-01,1,NULL,NULL,NULL,NULL
31,BB-AHU-02,AHU,Building-Beta,BB,BB-AHU-02,BB-AHU-02,1,NULL,NULL,NULL,NULL
32,BB-AHU-03,AHU,Building-Beta,BB,BB-AHU-03,BB-AHU-03,1,NULL,NULL,NULL,NULL
33,BB-AHU-04,AHU,Building-Beta,BB,BB-AHU-04,BB-AHU-04,1,NULL,NULL,NULL,NULL
34,BB-AHU-05,AHU,Building-Beta,BB,BB-AHU-05,BB-AHU-05,1,NULL,NULL,NULL,NULL
35,BB-AHU-06,AHU,Building-Beta,BB,BB-AHU-06,BB-AHU-06,1,NULL,NULL,NULL,NULL
36,BB-AHU-07,AHU,Building-Beta,BB,BB-AHU-07,BB-AHU-07,1,NULL,NULL,NULL,NULL
37,BB-AHU-08,AHU,Building-Beta,BB,BB-AHU-08,BB-AHU-08,1,NULL,NULL,NULL,NULL
38,BB-AHU-09,AHU,Building-Beta,BB,BB-AHU-09,BB-AHU-09,1,NULL,NULL,NULL,NULL
39,BG-AIRCOOLER-01,Air Coolers,Building-Gamma,BG,BG-AC-01,BG-AC-01-SUPPLY,1,NULL,NULL,NULL,NULL
40,BG-AIRCOOLER-02,Air Coolers,Building-Gamma,BG,BG-AC-02,BG-AC-02-SUPPLY,1,NULL,NULL,NULL,NULL
41,BG-AIRCOOLER-03,Air Coolers,Building-Gamma,BG,BG-AC-03,BG-AC-03-SUPPLY,1,NULL,NULL,NULL,NULL
42,BG-AIRCOOLER-04,Air Coolers,Building-Gamma,BG,BG-AC-04,BG-AC-04-SUPPLY,1,NULL,NULL,NULL,NULL
43,BG-AIRCOOLER-05,Air Coolers,Building-Gamma,BG,BG-AC-05,BG-AC-05-SUPPLY,1,NULL,NULL,NULL,NULL
